Coloane: localitate, judet, codjudet, regiune, populatie, x,y
Atentie! Sunt in alta ordine decat in tabela!

/Galda de Sus/,/Alba/,/AB/,/Centru/,/467/,/23.56/,/46.22/
/Lupseni/,/Alba/,/AB/,/Centru/,/54/,/23.55/,/46.22/
/Magura/,/Alba/,/AB/,/Centru/,/56/,/23.54/,/46.24/
/Mesentea/,/Alba/,/AB/,/Centru/,/216/,/23.60/,/46.19/
/Oiejdea/,/Alba/,/AB/,/Centru/,/886/,/23.63/,/46.16/
/Poiana Galdei/,/Alba/,/AB/,/Centru/,/174/,/23.53/,/46.24/
/Raicani/,/Alba/,/AB/,/Centru/,/46/,/23.50/,/46.27/
/Zagris/,/Alba/,/AB/,/Centru/,/12/,/23.54/,/46.23/
/Garbova/,/Alba/,/AB/,/Centru/,/1460/,/23.72/,/45.86/
/Carpinis/,/Alba/,/AB/,/Centru/,/334/,/23.66/,/45.83/
/Reciu/,/Alba/,/AB/,/Centru/,/273/,/23.67/,/45.87/
/Garda de Sus/,/Alba/,/AB/,/Centru/,/431/,/22.83/,/46.46/
/Biharia/,/Alba/,/AB/,/Centru/,/124/,/22.77/,/46.43/
/Dealu Frumos/,/Alba/,/AB/,/Centru/,/103/,/22.83/,/46.49/
/Dealu Ordancusii/,/Alba/,/AB/,/Centru/,/29/,/22.84/,/46.51/
/Dobresti/,/Alba/,/AB/,/Centru/,/67/,/22.82/,/46.47/
/Ghetari/,/Alba/,/AB/,/Centru/,/126/,/22.82/,/46.49/
/Garda Seaca/,/Alba/,/AB/,/Centru/,/149/,/22.81/,/46.48/
/Hanasesti/,/Alba/,/AB/,/Centru/,/112/,/22.83/,/46.48/
/Huzaresti/,/Alba/,/AB/,/Centru/,/111/,/22.84/,/46.45/
/Izvoarele/,/Alba/,/AB/,/Centru/,/69/,/22.84/,/46.46/
/Mununa/,/Alba/,/AB/,/Centru/,/92/,/22.84/,/46.47/
/Ocoale/,/Alba/,/AB/,/Centru/,/310/,/22.81/,/46.51/
/Plai/,/Alba/,/AB/,/Centru/,/150/,/22.82/,/46.44/
/Plisti/,/Alba/,/AB/,/Centru/,/38/,/22.80/,/46.49/
/Scoarta/,/Alba/,/AB/,/Centru/,/28/,/22.77/,/46.44/
/Sucesti/,/Alba/,/AB/,/Centru/,/71/,/22.80/,/46.44/
/Snide/,/Alba/,/AB/,/Centru/,/120/,/22.79/,/46.45/
/Hoparta/,/Alba/,/AB/,/Centru/,/407/,/23.87/,/46.32/
/Silivas/,/Alba/,/AB/,/Centru/,/218/,/23.88/,/46.34/
/Spalnaca/,/Alba/,/AB/,/Centru/,/329/,/23.91/,/46.34/
/Turdas/,/Alba/,/AB/,/Centru/,/361/,/23.92/,/46.31/
/Vama Seaca/,/Alba/,/AB/,/Centru/,/243/,/23.94/,/46.35/
/Horea/,/Alba/,/AB/,/Centru/,/293/,/22.95/,/46.50/
/Baba/,/Alba/,/AB/,/Centru/,/45/,/22.97/,/46.50/
